time	zone	type	price
2017-11-27T17:03:04.000Z	us-east-1d	c4.4xlarge	0.2421
2017-11-27T17:02:22.000Z	us-east-1d	c4.4xlarge	0.242
2017-11-27T17:01:48.000Z	us-east-1d	c4.4xlarge	0.2419
2017-11-27T17:01:42.000Z	us-east-1d	c4.4xlarge	0.242
2017-11-27T16:57:48.000Z	us-east-1d	c4.4xlarge	0.2419
2017-11-27T16:56:46.000Z	us-east-1d	c4.4xlarge	0.2421
2017-11-27T16:56:20.000Z	us-east-1d	c4.4xlarge	0.2423
2017-11-27T16:55:52.000Z	us-east-1d	c4.4xlarge	0.2422
2017-11-27T16:55:42.000Z	us-east-1d	c4.4xlarge	0.2421
2017-11-27T16:54:34.000Z	us-east-1d	c4.4xlarge	0.2423
2017-11-27T16:50:32.000Z	us-east-1d	c4.4xlarge	0.2425
2017-11-27T16:48:16.000Z	us-east-1d	c4.4xlarge	0.2427
2017-11-27T16:47:50.000Z	us-east-1d	c4.4xlarge	0.2428
2017-11-27T16:47:10.000Z	us-east-1d	c4.4xlarge	0.2427
2017-11-27T16:45:48.000Z	us-east-1d	c4.4xlarge	0.2428
2017-11-27T16:44:50.000Z	us-east-1d	c4.4xlarge	0.2429
2017-11-27T16:44:47.000Z	us-east-1d	c4.4xlarge	0.2428
2017-11-27T16:42:03.000Z	us-east-1d	c4.4xlarge	0.2427
2017-11-27T16:41:04.000Z	us-east-1d	c4.4xlarge	0.2428
2017-11-27T16:41:00.000Z	us-east-1d	c4.4xlarge	0.2427
2017-11-27T16:40:56.000Z	us-east-1d	c4.4xlarge	0.2426
2017-11-27T16:40:34.000Z	us-east-1d	c4.4xlarge	0.2425
2017-11-27T16:40:18.000Z	us-east-1d	c4.4xlarge	0.2424
2017-11-27T16:40:14.000Z	us-east-1d	c4.4xlarge	0.2423
2017-11-27T16:38:17.000Z	us-east-1d	c4.4xlarge	0.2422
2017-11-27T16:37:56.000Z	us-east-1d	c4.4xlarge	0.2421
2017-11-27T16:25:09.000Z	us-east-1d	c4.4xlarge	0.2422
2017-11-27T16:22:09.000Z	us-east-1d	c4.4xlarge	0.2423
2017-11-27T16:21:57.000Z	us-east-1d	c4.4xlarge	0.2422
2017-11-27T16:21:51.000Z	us-east-1d	c4.4xlarge	0.2421
2017-11-27T16:21:47.000Z	us-east-1d	c4.4xlarge	0.2422
2017-11-27T16:21:23.000Z	us-east-1d	c4.4xlarge	0.2421
2017-11-27T16:20:55.000Z	us-east-1d	c4.4xlarge	0.242
2017-11-27T16:18:21.000Z	us-east-1d	c4.4xlarge	0.2419
